Pushed: 200 | Queue size: 1
Pushed: 100 | Queue size: 2
Pushed: 300 | Queue size: 3
Pushed: 400 | Queue size: 4
Pushed: 500 | Queue size: 5
Pushed: 600 | Queue size: 6
Pushed: 700 | Queue size: 7
Pushed: 800 | Queue size: 8
Pushed: 900 | Queue size: 9
Pushed: 1000 | Queue size: 10
Popped: 200 | Queue size: 9
Queue size reduced to: 25
Popped: 100 | Queue size: 8
Popped: 300 | Queue size: 7
Popped: 400 | Queue size: 6
Queue size reduced to: 12
Popped: 500 | Queue size: 5
Pushed: 901 | Queue size: 6
Pushed: 601 | Queue size: 7
Pushed: 101 | Queue size: 8
Pushed: 201 | Queue size: 9
Pushed: 401 | Queue size: 10
Pushed: 701 | Queue size: 11
Pushed: 301 | Queue size: 12
Queue size doubled to: 24
Pushed: 1001 | Queue size: 13
Pushed: 801 | Queue size: 14
Pushed: 501 | Queue size: 15
Popped: 600 | Queue size: 14
Popped: 700 | Queue size: 13
Popped: 800 | Queue size: 12
Popped: 900 | Queue size: 11
Popped: 1000 | Queue size: 10
Pushed: 502 | Queue size: 11
Pushed: 402 | Queue size: 12
Pushed: 302 | Queue size: 13
Pushed: 202 | Queue size: 14
Pushed: 702 | Queue size: 15
Pushed: 902 | Queue size: 16
Pushed: 602 | Queue size: 17
Pushed: 102 | Queue size: 18
Pushed: 1002 | Queue size: 19
Pushed: 802 | Queue size: 20
Popped: 901 | Queue size: 19
Popped: 601 | Queue size: 18
Popped: 101 | Queue size: 17
Popped: 201 | Queue size: 16
Popped: 401 | Queue size: 15
Pushed: 1003 | Queue size: 16
Pushed: 303 | Queue size: 17
Pushed: 903 | Queue size: 18
Pushed: 603 | Queue size: 19
Pushed: 203 | Queue size: 20
Pushed: 703 | Queue size: 21
Pushed: 403 | Queue size: 22
Pushed: 103 | Queue size: 23
Pushed: 803 | Queue size: 24
Queue size doubled to: 48
Pushed: 503 | Queue size: 25
Pushed: 1004 | Queue size: 26
Pushed: 104 | Queue size: 27
Pushed: 504 | Queue size: 28
Pushed: 904 | Queue size: 29
Pushed: 704 | Queue size: 30
Pushed: 204 | Queue size: 31
Pushed: 804 | Queue size: 32
Pushed: 604 | Queue size: 33
Pushed: 404 | Queue size: 34
Pushed: 304 | Queue size: 35
Popped: 701 | Queue size: 34
Popped: 301 | Queue size: 33
Popped: 1001 | Queue size: 32
Popped: 801 | Queue size: 31
Popped: 501 | Queue size: 30
Pushed: 405 | Queue size: 31
Pushed: 1005 | Queue size: 32
Pushed: 305 | Queue size: 33
Pushed: 605 | Queue size: 34
Pushed: 505 | Queue size: 35
Pushed: 905 | Queue size: 36
Pushed: 205 | Queue size: 37
Pushed: 705 | Queue size: 38
Pushed: 805 | Queue size: 39
Pushed: 105 | Queue size: 40
Popped: 502 | Queue size: 39
Popped: 402 | Queue size: 38
Popped: 302 | Queue size: 37
Popped: 202 | Queue size: 36
Popped: 702 | Queue size: 35
Pushed: 906 | Queue size: 36
Pushed: 406 | Queue size: 37
Pushed: 106 | Queue size: 38
Pushed: 1006 | Queue size: 39
Pushed: 506 | Queue size: 40
Pushed: 306 | Queue size: 41
Pushed: 806 | Queue size: 42
Pushed: 706 | Queue size: 43
Pushed: 606 | Queue size: 44
Pushed: 206 | Queue size: 45
Pushed: 207 | Queue size: 46
Pushed: 507 | Queue size: 47
Pushed: 707 | Queue size: 48
Queue size doubled to: 96
Popped: 902 | Queue size: 47
Pushed: 607 | Queue size: 48
Pushed: 107 | Queue size: 49
Pushed: 807 | Queue size: 50
Pushed: 407 | Queue size: 51
Pushed: 1007 | Queue size: 52
Pushed: 907 | Queue size: 53
Pushed: 307 | Queue size: 54
Popped: 602 | Queue size: 53
Popped: 102 | Queue size: 52
Popped: 1002 | Queue size: 51
Popped: 802 | Queue size: 50
Pushed: 408 | Queue size: 51
Pushed: 608 | Queue size: 52
Pushed: 908 | Queue size: 53
Pushed: 708 | Queue size: 54
Pushed: 1008 | Queue size: 55
Pushed: 808 | Queue size: 56
Pushed: 508 | Queue size: 57
Pushed: 308 | Queue size: 58
Pushed: 108 | Queue size: 59
Pushed: 208 | Queue size: 60
Popped: 1003 | Queue size: 59
Popped: 303 | Queue size: 58
Popped: 903 | Queue size: 57
Popped: 603 | Queue size: 56
Popped: 203 | Queue size: 55
Pushed: 909 | Queue size: 56
Pushed: 109 | Queue size: 57
Pushed: 809 | Queue size: 58
Pushed: 1009 | Queue size: 59
Pushed: 709 | Queue size: 60
Pushed: 609 | Queue size: 61
Pushed: 209 | Queue size: 62
Pushed: 309 | Queue size: 63
Pushed: 509 | Queue size: 64
Pushed: 409 | Queue size: 65
